,eixo,tipo_pergunta,pair_id,pergunta
0,Políticas Sociais,P+,0,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho."
1,Políticas Sociais,P-,0,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias."
2,Políticas Sociais,P+,1,"A pauta LGBTQIA+ deve respeitar os valores familiares tradicionais e a liberdade religiosa, sem imposições ideológicas que descaracterizem a família."
3,Políticas Sociais,P-,1,"A garantia plena dos direitos da população LGBTQIA+ é fundamental para uma sociedade justa e igualitária, combatendo a discriminação e a violência."
4,Políticas Sociais,P+,2,"A reforma agrária, como proposta, desrespeita a propriedade privada e a produtividade do agronegócio, gerando insegurança jurídica e conflitos."
5,Políticas Sociais,P-,2,"A reforma agrária é crucial para democratizar o acesso à terra, promover a justiça social no campo e impulsionar a agricultura familiar."
6,Políticas Sociais,P+,3,"A questão da moradia deve ser resolvida principalmente pelo mercado, com incentivos à construção civil e menos intervenção estatal que distorce a economia."
7,Políticas Sociais,P-,3,"Programas de moradia popular são essenciais para garantir o direito à moradia digna, reduzindo o déficit habitacional e a segregação urbana."
8,Economia,P+,4,"A intervenção estatal na economia deve ser mínima, permitindo que o livre mercado e a iniciativa privada sejam os principais motores do crescimento e da geração de riqueza."
9,Economia,P-,4,"O Estado deve ter um papel ativo na economia, regulando setores estratégicos e investindo em infraestrutura e serviços públicos para promover o desenvolvimento e reduzir desigualdades."
10,Economia,P+,5,"A privatização de empresas estatais é fundamental para aumentar a eficiência, reduzir a dívida pública e atrair investimentos, melhorando a qualidade dos serviços."
11,Economia,P-,5,"Empresas estatais estratégicas devem permanecer sob controle público para garantir o interesse nacional, a soberania e o acesso universal a serviços essenciais."
12,Economia,P+,6,"A valorização excessiva do salário mínimo pode gerar inflação e desemprego, sendo mais prudente que seu reajuste acompanhe a produtividade e a realidade econômica."
13,Economia,P-,6,"O salário mínimo deve ser valorizado anualmente com ganhos reais, garantindo o poder de compra dos trabalhadores e impulsionando a economia interna."
